last_name,first_name,gender,state,district,party,url,address,phone,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,fec_id,fec_id2,fec_id3,total
Corker,Bob,M,TN,,Republican,http://www.corker.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3344,SenBobCorker,bobcorker,senatorcorker,UCm7if_szz7DxfcdYGrywHSA,C001071,1825,N00027441,S310,1021114,412248,65905,Bob Corker,gIQADOuy9O,40705,Bob Corker,S6TN00216,S4TN00187,,11521440
Coons,Chris,M,DE,,Democrat,http://www.coons.senate.gov,127A Russell Senate Office Building Washington DC 20510,202-224-5042,SenCoonsOffice,senatorchriscoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,1984,N00031820,S337,9269028,412390,122834,Chris Coons,gIQAaKfTKP,40916,Chris Coons,S0DE00092,,,9024192
Collins,Susan,F,ME,,Republican,http://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,SenatorCollins,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,1541,N00000491,S252,45738,300025,379,Susan Collins,gIQAPvDu9O,49703,Susan Collins,S6ME00159,,,6072071
Cochran,Thad,M,MS,,Republican,http://www.cochran.senate.gov,113 Dirksen Senate Office Building Washington DC 20510,202-224-5054,SenThadCochran,,sencochran,UCTnKP_ye7nI5DEn_zreaa3g,C000567,213,N00003328,S136,1200,300023,53312,Thad Cochran,gIQAJk599O,14009,Thad Cochran,S8MS00055,,,6487154
Coats,Daniel,M,IN,,Republican,http://www.coats.senate.gov,493 Russell Senate Office Building Washington DC 20510,202-224-5623,SenDanCoats,180671148633644,SenatorCoats,UCipTNiqJBYHutxpMxo0UOYw,C000542,209,N00003845,S212,6080,402675,53291,Dan Coats,gIQAGGdaAP,14806,Dan Coats,S0IN00053,,,4349032
Cassidy,Bill,M,LA,,Republican,http://www.cassidy.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-5824,,,SenatorBillCassidy,UCCEyGhUzxgkxFzWCY-rxz8g,C001075,1925,N00030245,S373,1030546,412269,69494,Bill Cassidy,gIQAPBLkDP,20919,Bill Cassidy,H8LA00017,,,(null)
Casey,Robert,M,PA,,Democrat,http://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,SenBobCasey,SenatorBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,C001070,1828,N00027503,S309,47036,412246,2541,Bob Casey, Jr.,gIQABeor9O,40703,Bob Casey, Jr.,S6PA00217,,,13655279
Carper,Thomas,M,DE,,Democrat,http://www.carper.senate.gov,513 Hart Senate Office Building Washington DC 20510,202-224-2441,SenatorCarper,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,179,N00012508,S277,663,300019,22421,Tom Carper,gIQA3bm69O,15015,Tom Carper,S8DE00079,,,4853461
Cardin,Benjamin,M,MD,,Democrat,http://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,SenatorCardin,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,174,N00001955,S308,4004,400064,26888,Ben Cardin,gIQAGMu99O,15408,Ben Cardin,S6MD03177,H6MD03177,,6536680
Capito,Shelley,F,WV,,Republican,http://www.capito.senate.gov,172 Russell Senate Office Building Washington DC 20510,202-224-6472,SenCapito,senshelley,UCbiXdR4XQ3vD9Xp5lfR9QXw,UCbiXdR4XQ3vD9Xp5lfR9QXw,C001047,1676,N00009771,S372,83737,400061,11701,Shelley Moore Capito,gIQA3s9PAP,20146,Shelley Moore Capito,S4WV00159,H0WV02138,,6023145
Cantwell,Maria,F,WA,,Democrat,http://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,SenatorCantwell,,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,172,N00007836,S275,26137,300018,27122,Maria Cantwell,gIQAZxKkDP,39310,Maria Cantwell,S8WA00194,H2WA01054,,7173955
Burr,Richard,M,NC,,Republican,http://www.burr.senate.gov,217 Russell Senate Office Building Washington DC 20510,202-224-3154,SenatorBurr,SenatorRichardBurr,SenatorRichardBurr,UCOLLZpp-1womBSFDV2uLfag,B001135,153,N00002221,S300,31054,400054,21787,Richard Burr,gIQAMX709O,29548,Richard Burr,S4NC00089,H2NC05074,,12676055
Brown,Sherrod,M,OH,,Democrat,http://www.brown.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-2315,SenSherrodBrown,,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,B000944,136,N00003535,S307,5051,400050,27018,Sherrod Brown,gIQA3O2w9O,29389,Sherrod Brown,S6OH00163,H2OH13033,,16113495
Boxer,Barbara,F,CA,,Democrat,http://www.boxer.senate.gov,112 Hart Senate Office Building Washington DC 20510,202-224-3553,SenatorBoxer,senatorboxer,SenatorBoxer,UCWDQBlCBh67UgfNvSXDvbmw,B000711,116,N00006692,S223,2470,300011,53274,Barbara Boxer,gIQArxPM9O,15011,Barbara Boxer,S2CA00286,H2CA06028,P80003247,13854335
Boozman,John,M,AR,,Republican,http://www.boozman.senate.gov,141 Hart Senate Office Building Washington DC 20510,202-224-4843,JohnBoozman,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,B001236,1687,N00013873,S343,92069,400040,27958,John Boozman,gIQAxKQPAP,20101,John Boozman,S0AR00150,H2AR03176,,4243383
Booker,Cory,M,NJ,,Democrat,http://www.booker.senate.gov,359 Dirksen Senate Office Building Washington DC 20510,202-224-3224,SenBookerOfc,,SenCoryBooker,UC6FlymqNS1VettnVZa7goPA,B001288,2194,N00035267,S370,84679,412598,76151,Cory Booker,,0,Cory Booker,S4NJ00185,,,17811502
Blunt,Roy,M,MO,,Republican,http://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-5721,RoyBlunt,SenatorBlunt,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,B000575,1464,N00005195,S342,45465,400034,418,Roy Blunt,gIQAUcQL9O,29735,Roy Blunt,S0MO00183,H6MO07128,,17490417
Blumenthal,Richard,M,CT,,Democrat,http://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,2076,N00031685,S341,21799,412490,1568,Richard Blumenthal,gIQAeNwz6O,41101,Richard Blumenthal,S0CT00177,,,9265434
Bennet,Michael,M,CO,,Democrat,http://www.bennet.senate.gov,261 Russell Senate Office Building Washington DC 20510,202-224-5852,SenBennetCo,senatorbennet,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,1965,N00030608,S330,1031622,412330,110942,Michael Bennet,gIQA8vao9O,40910,Michael Bennet,S0CO00211,,,16958787
Barrasso,John,M,WY,,Republican,http://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,SenJohnBarrasso,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,1881,N00006236,S317,1024777,412251,52662,John Barrasso,gIQASOzBAP,40707,John Barrasso,S6WY00068,,,5789932
Baldwin,Tammy,F,WI,,Democrat,http://www.baldwin.senate.gov,717 Hart Washington DC 20510,202-224-5653,SenatorBaldwin,TammyBaldwin,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,B001230,1558,N00004367,S354,57884,400013,3470,Tammy Baldwin,gIQAgHwPAP,29940,Tammy Baldwin,S2WI00219,H8WI00018,,8317827
Ayotte,Kelly,F,NH,,Republican,http://www.ayotte.senate.gov,144 Russell Senate Office Building Washington DC 20510,202-224-3324,,kellyayottenh,SenatorAyotte,UCe_jD6bQuBwAo4CxwUm_ztw,A000368,2075,N00030980,S340,95241,412493,42352,Kelly A. Ayotte,gIQA6LfTKP,41106,Kelly Ayotte,S0NH00235,,,10475700
Alexander,Lamar,M,TN,,Republican,http://www.alexander.senate.gov,455 Dirksen Senate Office Building Washington DC 20510,202-224-4944,SenAlexander,senatorlamaralexander,lamaralexander,UChDLBjn5RWqgMmCSswT05IQ,A000360,1695,N00009888,S289,5,300002,15691,Lamar Alexander,gIQAzZQL9O,40304,Lamar Alexander,S2TN00058,P60003225,,6330702
