DonorOrganization	RecipientCandidateNameNormalized	RecipientCandidateParty	RecipientCandidateStatus	total
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Michael F Bennet	Democratic	No Status	2000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Michael F Bennet	\N	\N	2500
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Mitch Mcconnell	Republican	Won	1500
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Orrin Hatch	Republican	Won	4000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Patrick Joseph Toomey	Republican	No Status	4500
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Richard Burr	Republican	No Status	3000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Richard Shelby	Republican	No Status	4000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Ron Wyden	Democratic	No Status	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Roy Blunt	Republican	No Status	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Saxby Chambliss	Republican	Term Ended	-1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Saxby Chambliss	\N	\N	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Sherrod Brown	\N	\N	1000
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Timothy Michael Kaine	\N	\N	2500
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Timothy Scott	Republican	No Status	2500
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC)	Timothy Scott	Republican	Won	1000
Ba Research International	Bill White	\N	\N	500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Al Franken	Democrat-Farm-Labor	Won	7500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Amy Klobuchar	Democratic	Won	2500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Benjamin Cardin	Democratic	Won	5000
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Bernard Sanders	Independent	Won	2500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Brad Ellsworth	Democratic	No Status	3000
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Charles Schumer	Democratic	No Status	1500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Christopher A Coons	Democratic	No Status	1500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Christopher Murphy	Democratic	Won	2500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Claire Mccaskill	Democratic	Won	2000
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Debbie Ann Stabenow	Democratic	Won	5000
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Elizabeth Warren	Democratic	Won	7500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Gary Peters	Democratic	Won	5000
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Harry Reid	Democratic	No Status	1500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Jeanne Shaheen	Democratic	Won	2500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Jeffrey Alan Merkley	Democratic	Won	7500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Joe Donnelly	Democratic	Won	2500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Joe Manchin Iii	Democratic	No Status	3000
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Kendrick Meek	Democratic	No Status	1500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Kirsten Gillibrand	Democratic	No Status	1500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Kirsten Gillibrand	Democratic	Won	2500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Martin Heinrich	Democratic	Won	2500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Michael F Bennet	Democratic	No Status	1500
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Patty Murray	Democratic	Won	3000
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Paul Hodes	Democratic	No Status	3000
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Robert Casey	Democratic	Won	5000
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Sherrod Brown	\N	\N	5000
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Tammy Baldwin	Democratic	Won	5000
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union	Timothy Michael Kaine	Democratic	Won	10000
Barquin International	Robert Men�ndez	Democratic	Won	500
Barrett Sothebys International	Jeanne Shaheen	Democratic	Won	1000
Barthco International Inc.	Arlen Specter	Republican	No Status	3300
Baxter International	Arlen Specter	Republican	No Status	1000
Baxter International	Barbara Boxer	Democratic	Won	2100
Baxter International	Barbara Mikulski	Democratic	No Status	2000
Baxter International	Benjamin Cardin	\N	\N	2000
Baxter International	Blanche Lincoln	Democratic	No Status	11300
Baxter International	Brad Ellsworth	Democratic	No Status	1000
Baxter International	Charles Grassley	Republican	No Status	4000
Baxter International	Daniel R Coats	Republican	No Status	0
Baxter International	Daniel R Coats	\N	\N	1000
Baxter International	Dianne Feinstein	\N	\N	2500
Baxter International	Evan Bayh	Democratic	No Status	1000
Baxter International	Gary Peters	Democratic	Won	250
Baxter International	John Barrasso	Republican	Won	1000
Baxter International	John Barrasso	\N	\N	1000
Baxter International	John Boozman	\N	\N	1500
Baxter International	John Cornyn	Republican	Won	5000
Baxter International	John Reed	Democratic	Won	450
Baxter International	Kay R Hagan	\N	\N	5400
Baxter International	Kent Conrad	\N	\N	2000
Baxter International	Lamar Alexander	Republican	Won	5000
Baxter International	Marco Rubio	\N	\N	0
Baxter International	Mark Kirk	Republican	No Status	40950
Baxter International	Mark Kirk	\N	\N	2000
Baxter International	Mark Pryor	\N	\N	1000
Baxter International	Max Baucus	\N	\N	2000
Baxter International	Michael Enzi	\N	\N	1000
Baxter International	Mitch Mcconnell	Republican	Won	2500
Baxter International	Orrin Hatch	Republican	Won	4500
Baxter International	Orrin Hatch	\N	\N	4000
Baxter International	Rand Paul	Republican	No Status	400
Baxter International	Richard Burr	Republican	No Status	8000
Baxter International	Rob Portman	Republican	No Status	500
Baxter International	Rob Portman	\N	\N	2000
Baxter International	Roger Wicker	\N	\N	1000
Baxter International	Ron Wyden	Democratic	No Status	4500
Baxter International	Ron Wyden	\N	\N	1000
Baxter International	Russell Feingold	Democratic	No Status	500
Baxter International	Tammy Baldwin	Democratic	Won	750
Baxter International	Thad Cochran	Republican	Won	2500
Baxter International	Thomas Harkin	\N	\N	1000
Baxter International	Timothy Michael Kaine	Democratic	Won	250
Baxter International	Timothy Scott	Republican	Won	1000
Bc International Group	Arlen Specter	Republican	No Status	1500
Bc International Group	Harry Reid	Democratic	No Status	6800
Bc International Group	Kirsten Gillibrand	Democratic	Won	1000
Beacon National Insurance	Marco Rubio	Republican	No Status	1100
Beatrice National Bank & Trust	Debra S Fischer	Republican	Won	1000
Bedminster International	Mitch Mcconnell	Republican	Won	1000
Bekmez International, Inc.	Cory A Booker	Democratic	Won	2000
Bella International Corporation	Robert Men�ndez	Democratic	Won	300
Bella International Corporation	Robert Men�ndez	\N	\N	500
Benchmark Hospitality International	Rafael Edward Ted Cruz	Republican	Won	250
Berner International	Joe Sestak	Democratic	Not Yet A Statutory Candidate	2400
Berner International Corp	Al Franken	Democrat-Farm-Labor	Won	2500
Berner International Corp	Amy Klobuchar	Democratic	Won	500
Berner International Corp	Joe Sestak	Democratic	No Status	2000
Berner International Corp	Joe Sestak	\N	\N	2500
Berner International Corp	Kirsten Gillibrand	Democratic	Won	500
Berner International Corp	Timothy Michael Kaine	Democratic	Won	500
Berner International Corp.	Jeanne Shaheen	Democratic	Won	500
Berner International Corporation	Bill Nelson	Democratic	Won	1000
Berner International Corporation	Catherine Cortez Masto	Democratic	No Status	1000
Berner International Corporation	Elizabeth Warren	Democratic	Won	2000
Berner International Corporation	Harry Reid	Democratic	No Status	750
Berner International Corporation	Robert Casey	\N	\N	4800
Best Western International Inc	Elizabeth Warren	Democratic	Won	1000
Best Western International Inc	Russell Feingold	Democratic	No Status	1000
Beverly International Nutrition	Rand Paul	Republican	No Status	250
Bioarts International	Harry Reid	Democratic	No Status	2400
Blackheart International	Joe Manchin Iii	Democratic	No Status	1000
Blackheart International	Joe Manchin Iii	Democratic	Won	250
Blount International Inc	Ron Wyden	Democratic	No Status	2400
Blount International, Inc.	Ron Wyden	Democratic	No Status	5400
Bloxom Company International	Patty Murray	Democratic	Not Yet A Statutory Candidate	250
Blue Beacon International	Jerry Moran	Republican	Not Yet A Statutory Candidate	250
Blue Beacon International	Jerry Moran	\N	\N	2000
Blue Beacon International	Pat Roberts	Republican	Won	1000
Blue Beacon International, Inc.	Pat Roberts	Republican	Won	1000
Blue Beacon International, Inc.	Pat Roberts	\N	\N	1000
Bluemont International	Mitch Mcconnell	Republican	Won	1000
Bluewater International	James Inhofe	Republican	Won	2000
Boma International	Mark Robert Warner	Democratic	Won	375
Bonneville International Corp	Orrin Hatch	\N	\N	250
Boone County National Bank	Roy Blunt	Republican	No Status	1000
Boone County National Bank	Roy Blunt	\N	\N	500
Booneville International Corp.	Roy Blunt	Republican	No Status	200
Boulder National Organization For Wome	Michael F Bennet	Democratic	No Status	200
Brenahm National Bank	John Cornyn	Republican	Won	500
Brenham National	John Cornyn	Republican	Won	500
Brenham National Bank	John Cornyn	Republican	Won	1500
Brenham National Bank	Rafael Edward Ted Cruz	Republican	Won	1500
Brenham National Bank	Rafael Edward Ted Cruz	\N	\N	1000
Brinker International	Benjamin E Sasse	Republican	Won	1000
Brinker International	Bill Nelson	\N	\N	1000
Brinker International	Blanche Lincoln	Democratic	No Status	2000
Brinker International	Charles Grassley	Republican	No Status	1000
Brinker International	Charles Schumer	Democratic	No Status	3500
Brinker International	Claire Mccaskill	\N	\N	1000
Brinker International	Debra S Fischer	Republican	Won	1000
Brinker International	Harry Reid	Democratic	No Status	1000
Brinker International	Jerry Moran	Republican	Not Yet A Statutory Candidate	1000
Brinker International	Joe Manchin Iii	\N	\N	2500
Brinker International	John Cornyn	Republican	Won	10000
Brinker International	John Reed	Democratic	Won	1000
Brinker International	John Thune	Republican	No Status	2500
Brinker International	Joni K Ernst	Republican	Won	2000
Brinker International	Lamar Alexander	Republican	Won	3000
Brinker International	Lisa Murkowski	Republican	Won	2500
Brinker International	Marco Rubio	\N	\N	1000
Brinker International	Michael Castle	Republican	No Status	2500
Brinker International	Michael F Bennet	Democratic	No Status	2500
Brinker International	Mitch Mcconnell	Republican	Won	5000
Brinker International	Mitch Mcconnell	\N	\N	2500
Brinker International	Richard Burr	Republican	No Status	6500
Brinker International	Richard Durbin	Democratic	Won	1000
Brinker International	Richard Durbin	\N	\N	10000
Brinker International	Rob Portman	Republican	No Status	4500
Brinker International	Roy Blunt	Republican	No Status	5000
Brinker International	Thom R Tillis	Republican	Won	1000
Brinker International	Thomas Carper	\N	\N	1000
Brinker International	Thomas Cotton	\N	\N	0
Brinker International	Timothy Scott	Republican	Won	1000
Brinker International Inc. Pac	Rafael Edward Ted Cruz	Republican	Won	2000
Brinker International Inc. Political Action Committee	William Cassidy	Republican	Won	2500
Brokers International Ltd.	Charles Grassley	Republican	No Status	500
Brokers International, Ltd.	Charles Grassley	Republican	No Status	1000
Brookham National Lab	Claire Mccaskill	Democratic	Won	500
Brookham National Lab	Elizabeth Warren	Democratic	Won	500
Brookhaven National Lab	Jeanne Shaheen	Democratic	Won	500
Brookhaven National Laboratory	Barbara Boxer	Democratic	Won	500
Brookhaven National Laboratory	Debbie Ann Stabenow	Democratic	Won	250
Brookhaven National Laboratory	Kirsten Gillibrand	Democratic	Won	500
Brookhaven National Laboratory	Patty Murray	Democratic	Won	250
Brookhaven National Laboratory	Rush Holt	\N	\N	1000
Brooks International	Timothy Michael Kaine	Democratic	Won	250
Brooks International	William Cassidy	Republican	Won	2600
Brookside International Inc.	Jon Tester	Democratic	Won	1000
Brookside International, Inc.	Cory A Booker	Democratic	Won	1000
Building Owners and Managers Association International	Benjamin Cardin	Democratic	Won	1000
Building Owners and Managers Association International	Bob Corker	Republican	Won	2000
Building Owners and Managers Association International	Bob Corker	\N	\N	2500
Building Owners and Managers Association International	Charles Grassley	Republican	No Status	3000
Building Owners and Managers Association International	Charles Schumer	Democratic	No Status	2000
Building Owners and Managers Association International	Christopher Dodd	Democratic	No Status	2500
Building Owners and Managers Association International	Debbie Ann Stabenow	\N	\N	1000
Building Owners and Managers Association International	Harry Reid	Democratic	No Status	2500
Building Owners and Managers Association International	Harry Reid	\N	\N	2500
Building Owners and Managers Association International	Jeanne Shaheen	Democratic	Won	2500
Building Owners and Managers Association International	Jeanne Shaheen	\N	\N	2500
Building Owners and Managers Association International	Jim Bunning	Republican	No Status	1000
Building Owners and Managers Association International	John Barrasso	Republican	Not Yet A Statutory Candidate	2500
Building Owners and Managers Association International	John Cornyn	Republican	Won	2500
Building Owners and Managers Association International	John Cornyn	\N	\N	1000
Building Owners and Managers Association International	John Isakson	Republican	No Status	7500
Building Owners and Managers Association International	John Reed	\N	\N	1000
Building Owners and Managers Association International	John Thune	\N	\N	2500
Building Owners and Managers Association International	Lisa Murkowski	Republican	Not Yet A Statutory Candidate	1000
Building Owners and Managers Association International	Lisa Murkowski	Republican	Won	2500
Building Owners and Managers Association International	Mark Robert Warner	Democratic	Won	1000
Building Owners and Managers Association International	Michael Crapo	Republican	No Status	1000
Building Owners and Managers Association International	Michael Enzi	Republican	Won	3500
Building Owners and Managers Association International	Mitch Mcconnell	\N	\N	2500
Building Owners and Managers Association International	Orrin Hatch	Republican	Won	2000
Building Owners and Managers Association International	Pat Roberts	Republican	Won	1000
Building Owners and Managers Association International	Richard Shelby	Republican	No Status	2500
Building Owners and Managers Association International	Rob Portman	\N	\N	6000
Building Owners and Managers Association International	Robert Casey	Democratic	Won	1000
Building Owners and Managers Association International	Robert Men�ndez	\N	\N	2500
Building Owners and Managers Association International	Timothy Scott	Republican	Won	1000
Bureau Of National Affairs	Timothy Michael Kaine	Democratic	Won	250
C & M International, Ltd	Rob Portman	\N	\N	250
C & M International, Ltd.	Rob Portman	\N	\N	250
C.g International	Brian Emanuel Schatz	Democratic	Won	4000
CONFERENCE OF NATIONAL PARK CONCESSIONERS POLITICAL ACTION COMMITTEE (CONPAC)	Harry Reid	Democratic	No Status	1200
CONFERENCE OF NATIONAL PARK CONCESSIONERS POLITICAL ACTION COMMITTEE (CONPAC)	Mark Udall	\N	\N	9000
CONSERVATIVE NATIONAL COMMITTEE (FKA-CONGRESSIONAL MAJORITY COMMITTEE)	Marco Rubio	Republican	No Status	250
CONSERVATIVE NATIONAL COMMITTEE (FKA-CONGRESSIONAL MAJORITY COMMITTEE)	Patrick Joseph Toomey	Republican	No Status	250
CONSERVATIVE NATIONAL COMMITTEE (FKA-CONGRESSIONAL MAJORITY COMMITTEE)	Rafael Edward Ted Cruz	Republican	Won	1000
CONSERVATIVE NATIONAL COMMITTEE (FKA-CONGRESSIONAL MAJORITY COMMITTEE)	Rand Paul	Republican	No Status	250
CONSERVATIVE NATIONAL COMMITTEE (FKA-CONGRESSIONAL MAJORITY COMMITTEE)	Ronald Harold Johnson	Republican	No Status	250
CRST International	Charles Grassley	Republican	No Status	2000
CRST International	John Boozman	\N	\N	250
Ca Botana International, Inc.	Marco Rubio	Republican	No Status	250
Caci International, Inc.	Mark Robert Warner	Democratic	Won	1000
Calumet National Bank	Brad Ellsworth	Democratic	No Status	250
Camac International	Bill White	\N	\N	2400
Camac International	Robert Men�ndez	Democratic	Won	5000
Cambio International	Angus Stanley King Jr	Independent	Won	323
Camden National Bank	Susan Collins	Republican	Won	1250
Camden National Corporation	Angus Stanley King Jr	Independent	Won	500
Cameron International	Bill White	\N	\N	4800
Cameron International	Joe Sestak	\N	\N	5200
Cammeby's International	John Barrasso	Republican	Won	1000
Cammeby's International	Patrick Joseph Toomey	Republican	No Status	1250
Cammeby's International	Patrick Joseph Toomey	\N	\N	1000
Camp Dresser & Mckee Inc. National	Byron Dorgan	Democratic	No Status	-2500
Camris International	Al Franken	Democrat-Farm-Labor	Won	1000
Camris International	Al Franken	\N	\N	1000
Camris International	Joe Manchin Iii	Democratic	No Status	1000
Canadian National	Mitch Mcconnell	\N	\N	500
Canadian National Railroad	Russell Feingold	Democratic	No Status	500
Canadian National Railway	Benjamin Cardin	Democratic	Won	1000
Canadian National Railway Comp	Roger Wicker	Republican	Won	500
Canandaigua National Bank	Charles Schumer	Democratic	No Status	2500
Cao International	Bob Corker	Republican	Won	500
Cao International	Kendrick Meek	Democratic	No Status	500
Cap Pac - Separate Segregated Fund Of National Community Action Foundation, Inc.	Tom Udall	Democratic	Won	333
Cap-pac Separate Segregated Fund Of National Community Action Foundation, Inc.	Jeanne Shaheen	Democratic	Won	1000
Cap.comm.coll. And National Research A	Christopher Murphy	Democratic	Won	200
Capital International	Christopher Murphy	Democratic	Won	1500
Capital International	Jeffrey Alan Merkley	Democratic	Won	2250
Capital International	John Barrasso	Republican	Won	3000
Capital International	John Hoeven	Republican	No Status	1000
Capital International	Jon Tester	Democratic	Won	1000
Capital International	Lindsey Graham	Republican	Won	8700
Capital International	Martin Heinrich	Democratic	Won	1000
Capital International	Michael Enzi	Republican	Won	2600
Capital International	Robert Men�ndez	Democratic	Won	2000
Capital International Inc.	Dean Heller	Republican	Won	2000
Capital International Investors	Rafael Edward Ted Cruz	\N	\N	2000
Capital International, Inc.	Bob Corker	Republican	Won	2500
Capital International, Inc.	Christopher A Coons	Democratic	Won	5200
Capitol International	Jeffrey Alan Merkley	Democratic	Won	2250
Capitol International	Joe Manchin Iii	Democratic	Won	2500
Carecore National	Lindsey Graham	Republican	Won	1500
Carecore National, Llc	Thomas Carper	Democratic	Won	500
Carlsbad National Bank	Tom Udall	Democratic	Won	450
Carnegie Endowment For International P	Elizabeth Warren	Democratic	Won	1000
Carolina International Trucks	Lindsey Graham	Republican	Won	1000
Cash America International	Benjamin E Sasse	\N	\N	1000
Cash America International	Bob Corker	Republican	Won	5000
Cash America International	Bob Corker	\N	\N	2000
Cash America International	Brian Emanuel Schatz	Democratic	Won	5000
Cash America International	Charles Schumer	Democratic	No Status	1000
Cash America International	Christopher A Coons	\N	\N	1000
Cash America International	Christopher Dodd	Democratic	No Status	4000
Cash America International	Daniel R Coats	\N	\N	1500
Cash America International	David Vitter	Republican	No Status	2000
Cash America International	David Vitter	\N	\N	6500
Cash America International	Dean Heller	Republican	Won	3500
Cash America International	Dean Heller	\N	\N	5000
Cash America International	Harry Reid	Democratic	No Status	8000
Cash America International	Harry Reid	\N	\N	5000
Cash America International	Jeanne Shaheen	Democratic	Won	2500
Cash America International	Jerry Moran	\N	\N	5000
Cash America International	Jim Demint	Republican	No Status	2000
Cash America International	Jim Demint	\N	\N	2000
Cash America International	Joe Donnelly	\N	\N	5000
Cash America International	Joe Manchin Iii	Democratic	Won	0
Cash America International	John Barrasso	Republican	Not Yet A Statutory Candidate	3000
Cash America International	John Cornyn	Republican	Won	6250
Cash America International	John Cornyn	\N	\N	2500
Cash America International	John Hoeven	\N	\N	1500
Cash America International	John Thune	Republican	No Status	2000
Cash America International	John Thune	\N	\N	1000
Cash America International	Jon Tester	Democratic	Won	2000
Cash America International	Jon Tester	\N	\N	2000
Cash America International	Kirsten Gillibrand	Democratic	No Status	7250
Cash America International	Kirsten Gillibrand	Democratic	Won	5000
Cash America International	Mark Eugene Amodei	\N	\N	1000
Cash America International	Mark Kirk	Republican	No Status	3000
Cash America International	Mark Kirk	\N	\N	0
Cash America International	Mark Pryor	\N	\N	1000
Cash America International	Mark Robert Warner	Democratic	Won	1500
Cash America International	Martin Heinrich	Democratic	Won	7350
Cash America International	Michael Crapo	Republican	No Status	2500
Cash America International	Michael Crapo	\N	\N	7500
Cash America International	Mitch Mcconnell	\N	\N	5000
Cash America International	Patrick Joseph Toomey	\N	\N	12500
Cash America International	Rafael Edward Ted Cruz	Republican	Won	250
Cash America International	Richard Shelby	Republican	No Status	2000
Cash America International	Richard Shelby	\N	\N	6000
Cash America International	Robert Men�ndez	Democratic	Won	14400
Cash America International	Robert Men�ndez	\N	\N	7500
Cash America International	Roger Williams	\N	\N	1500
Cash America International	Roy Blunt	\N	\N	2500
Cash America International	Shelley Capito	Republican	Won	1000
Cash America International	Sherrod Brown	Democratic	Won	5000
Cash America International	Steven Daines	\N	\N	1500
Cash America International Inc Pac	John Cornyn	\N	\N	2500
Castleton Commodities International	Richard Blumenthal	Democratic	No Status	500
Catalyst International	Russell Feingold	Democratic	No Status	1000
Cdm National Pac	Christopher Dodd	Democratic	No Status	-5000
Cds International	Brian Emanuel Schatz	Democratic	Won	1000
Cellulose Sciences International	Richard Durbin	Democratic	Won	250
Cellulose Sciences International	Tammy Baldwin	Democratic	Won	2000
Cellulose Sciences International	Tammy Baldwin	\N	\N	1500
Center Focus International	Paul Hodes	Democratic	No Status	250
Center For International Policy	Michael F Bennet	Democratic	No Status	500
Center For International Security	Kirsten Gillibrand	Democratic	Won	2500
Center for National Policy	Christopher Murphy	Democratic	Won	1000
Center for National Policy	Richard Blumenthal	Democratic	No Status	600
Central National Bank	Jerry Moran	Republican	No Status	2500
Central National Bank	Jerry Moran	Republican	Not Yet A Statutory Candidate	5586
Central National Bank	Jerry Moran	\N	\N	3000
Central National Bank	John Cornyn	Republican	Won	250
Central National Bank	Pat Roberts	Republican	Won	1750
Central National Bank-junction City	Pat Roberts	Republican	Won	1000
Central National Gottesman Foundation	Christopher Murphy	Democratic	Won	1750
Central National-Gottesman	Charles Schumer	Democratic	No Status	9600
Central National-Gottesman	Charles Schumer	\N	\N	1000
Central National-Gottesman	Elizabeth Warren	Democratic	Won	1250
Central National-Gottesman	Ron Wyden	Democratic	No Status	500
Central Transport International, Inc.	Harry Reid	Democratic	No Status	2400
Cevasco International, Inc.	Mark Robert Warner	Democratic	Won	1000
Cgl International, Inc.	Sherrod Brown	Democratic	Won	250
Che International Group	Ted Strickland	Democratic	No Status	250
Chemlube International	Elizabeth Warren	Democratic	Won	500
Chemlube International, Inc.	Elizabeth Warren	Democratic	Won	500
Chemlube International, Inc.	Jeanne Shaheen	Democratic	Won	500
Chemlube International, Inc.	Joe Sestak	Democratic	Not Yet A Statutory Candidate	250
Chempak International, Llc	Dan Sullivan	Republican	Won	5200
Chempak International, Llc	Rob Portman	\N	\N	250
Childfund International	Timothy Michael Kaine	Democratic	Won	400
Children's International, Llc	Debra S Fischer	Republican	Won	505
Children's International, Llc	Jeff Flake	Republican	Won	650
Children's International, Llc	Rafael Edward Ted Cruz	Republican	Won	1200
Children's National	Timothy Michael Kaine	Democratic	Won	250
Children's National Health System	Chris Van Hollen	Democratic	No Status	250
Children's National Medical Center	Sherrod Brown	Democratic	Won	500
Childrens National Medical Center	Cory A Booker	Democratic	Won	2000
Childrens National Medical Center	Jon Tester	Democratic	Won	250
Chiquita Brands International	John Mccain	Republican	No Status	4800
Chiquita Brands International	Orrin Hatch	\N	\N	4800
Chiquita Brands International	Rob Portman	Republican	No Status	18700
Chiquita Brands International	Rob Portman	\N	\N	500
Chiqulta Brands International	Rob Portman	Republican	No Status	500
Choi International	Brian Emanuel Schatz	Democratic	Won	8708
Choi International	Mazie Hirono	\N	\N	500
Choice Hotels International	Arlen Specter	Republican	No Status	1000
Choice Hotels International	Benjamin Cardin	\N	\N	7400
Choice Hotels International	Brian Emanuel Schatz	Democratic	No Status	2600
Choice Hotels International	Brian Emanuel Schatz	Democratic	Won	2600
Choice Hotels International	Charles Schumer	Democratic	No Status	1000
Choice Hotels International	Elizabeth Warren	Democratic	Won	1000
Choice Hotels International	Harry Reid	Democratic	No Status	4800
Choice Hotels International	Jon Tester	Democratic	Won	500
Choice Hotels International	Kirsten Gillibrand	Democratic	No Status	2400
Choice Hotels International	Marco Rubio	\N	\N	2000
Choice Hotels International	Michael Castle	Republican	No Status	1000
Choice Hotels International	Robert Men�ndez	Democratic	Won	5000
Choice Hotels International	Sherrod Brown	Democratic	Won	3000
Choice Hotels International	Tammy Baldwin	Democratic	Won	1000
Choice Hotels International Inc	Ron Wyden	Democratic	No Status	5400
Choice Hotels International, Inc.	Chris Van Hollen	Democratic	No Status	5400
Choice Hotels International, Inc.	Timothy Michael Kaine	Democratic	Won	2500
Choise Hotels International	John Boozman	Republican	No Status	1000
Cigars International	Patrick Joseph Toomey	Republican	No Status	6900
Cigars International	Patrick Joseph Toomey	\N	\N	2000
Cigars International	Robert Casey	Democratic	Won	5000
Cimmaron International Corp	Frank Pallone	\N	\N	500
Cimmaron International Corporation	Robert Men�ndez	Democratic	Won	5000
Citizens National	Jerry Moran	\N	\N	500
Citizens National Bank	Bob Corker	Republican	Won	4000
Citizens National Bank	Dan Sullivan	Republican	Won	500
Citizens National Bank	Jerry Moran	\N	\N	250
Citizens National Bank	John Cornyn	\N	\N	1500
Citizens National Bank	Mitch Mcconnell	Republican	Won	3000
Citizens National Bank	Mitch Mcconnell	\N	\N	500
Citizens National Bank	Pat Roberts	Republican	Won	500
Citizens National Bank	Rand Paul	Republican	No Status	500
Citizens National Bank	Roger Williams	\N	\N	2000
City National	Michael F Bennet	Democratic	No Status	2000
City National Bank	Barbara Boxer	Democratic	Won	400
City National Bank	Charles Schumer	Democratic	No Status	16600
City National Bank	Dianne Feinstein	Democratic	Won	4200
City National Bank	Elizabeth Warren	Democratic	Won	250
City National Bank	Harry Reid	Democratic	No Status	4800
City National Bank	Harry Reid	\N	\N	2600
City National Bank	James Inhofe	Republican	Won	500
City National Bank	James Inhofe	\N	\N	950
City National Bank	Jeffrey Alan Merkley	Democratic	Won	3600
City National Bank	Joe Manchin Iii	Democratic	No Status	500
City National Bank	Joe Manchin Iii	Democratic	Won	1000
City National Bank	Jon Tester	Democratic	Won	13000
City National Bank	Kendrick Meek	Democratic	No Status	4800
City National Bank	Kirsten Gillibrand	Democratic	Won	5000
City National Bank	Michael F Bennet	Democratic	No Status	13200
City National Bank	Shelley Capito	Republican	Won	3350
City National Bank	Tammy Baldwin	Democratic	Won	250
City National Bank Of Florida	Mitch Mcconnell	\N	\N	500
City National Corporation	Barbara Boxer	Democratic	Won	1500
City National Corporation	Jon Tester	Democratic	Won	5000
City National Corporation	Michael F Bennet	Democratic	No Status	1000
City National Corporation	Paul Hodes	Democratic	No Status	500
Civil Support International	Susan Collins	Republican	Won	1000
Clegg International	Bob Corker	Republican	Won	1000
Clen Aguas International School	Martin Heinrich	Democratic	Won	250
Clinicomp International	Marco Rubio	\N	\N	800
Cna National Warranty Corp.	Elizabeth Warren	Democratic	Won	250
Coats Aloe International, Inc.	Orrin Hatch	\N	\N	1000
Cobalt International Energy	John Cornyn	Republican	Won	1000
