id	Subject	Subcategory
6674	"Geographic Areas, Entities, and Committees"	Neighborhood Reinvestment Corporation
6675	"Geographic Areas, Entities, and Committees"	Nepal
6676	"Geographic Areas, Entities, and Committees"	Netherlands
6677	"Geographic Areas, Entities, and Committees"	Netherlands Antilles
6678	"Geographic Areas, Entities, and Committees"	Nevada
6679	"Geographic Areas, Entities, and Committees"	New Hampshire
6680	"Geographic Areas, Entities, and Committees"	New Jersey
6681	"Geographic Areas, Entities, and Committees"	New Mexico
6682	"Geographic Areas, Entities, and Committees"	New York City
6683	"Geographic Areas, Entities, and Committees"	New York State
6684	"Geographic Areas, Entities, and Committees"	New Zealand
6685	"Geographic Areas, Entities, and Committees"	Nicaragua
6686	"Geographic Areas, Entities, and Committees"	Niger
6687	"Geographic Areas, Entities, and Committees"	Nigeria
6688	"Geographic Areas, Entities, and Committees"	North America
6689	"Geographic Areas, Entities, and Committees"	North Carolina
6690	"Geographic Areas, Entities, and Committees"	North Dakota
6691	"Geographic Areas, Entities, and Committees"	North Korea
6692	"Geographic Areas, Entities, and Committees"	Northern Ireland
6693	"Geographic Areas, Entities, and Committees"	Northern Mariana Islands
6694	"Geographic Areas, Entities, and Committees"	Norway
6695	"Geographic Areas, Entities, and Committees"	Nuclear Regulatory Commission (NRC)
6696	"Geographic Areas, Entities, and Committees"	Nuclear Waste Technical Review Board
6697	"Geographic Areas, Entities, and Committees"	Occupational Safety and Health Review Commission
6698	"Geographic Areas, Entities, and Committees"	Oceania
6699	"Geographic Areas, Entities, and Committees"	Office of Government Ethics
6700	"Geographic Areas, Entities, and Committees"	Office of Management and Budget (OMB)
6701	"Geographic Areas, Entities, and Committees"	Office of Personnel Management (OPM)
6702	"Geographic Areas, Entities, and Committees"	Office of Science and Technology Policy
6703	"Geographic Areas, Entities, and Committees"	Office of Special Counsel
6704	"Geographic Areas, Entities, and Committees"	Office of the U.S. Trade Representative
6705	"Geographic Areas, Entities, and Committees"	Ohio
6706	"Geographic Areas, Entities, and Committees"	Oklahoma
6707	"Geographic Areas, Entities, and Committees"	Oregon
6708	"Geographic Areas, Entities, and Committees"	Organization of American States
6709	"Geographic Areas, Entities, and Committees"	Overseas Private Investment Corporation (OPIC)
6710	"Geographic Areas, Entities, and Committees"	Pacific Ocean
6711	"Geographic Areas, Entities, and Committees"	Pakistan
6712	"Geographic Areas, Entities, and Committees"	Palau
6714	"Geographic Areas, Entities, and Committees"	Panama
6715	"Geographic Areas, Entities, and Committees"	Panama Canal
6716	"Geographic Areas, Entities, and Committees"	Papua New Guinea
6717	"Geographic Areas, Entities, and Committees"	Paraguay
6718	"Geographic Areas, Entities, and Committees"	Peace Corps
6719	"Geographic Areas, Entities, and Committees"	Pennsylvania
6720	"Geographic Areas, Entities, and Committees"	Pension Benefit Guaranty Corporation
6721	"Geographic Areas, Entities, and Committees"	Persian Gulf
6722	"Geographic Areas, Entities, and Committees"	Persian Gulf States
6723	"Geographic Areas, Entities, and Committees"	Peru
6724	"Geographic Areas, Entities, and Committees"	Philippines
6725	"Geographic Areas, Entities, and Committees"	Poland
6726	"Geographic Areas, Entities, and Committees"	Portugal
6727	"Geographic Areas, Entities, and Committees"	Postal Regulatory Commission
6728	"Geographic Areas, Entities, and Committees"	Puerto Rico
6729	"Geographic Areas, Entities, and Committees"	Puget Sound
6731	"Geographic Areas, Entities, and Committees"	Rhode Island
6732	"Geographic Areas, Entities, and Committees"	Romania
6733	"Geographic Areas, Entities, and Committees"	Russia
6734	"Geographic Areas, Entities, and Committees"	Rwanda
6735	"Geographic Areas, Entities, and Committees"	Saint Kitts and Nevis
6736	"Geographic Areas, Entities, and Committees"	Saint Lawrence Seaway
6737	"Geographic Areas, Entities, and Committees"	Saint Lucia
6738	"Geographic Areas, Entities, and Committees"	Saint Vincent and the Grenadines
6739	"Geographic Areas, Entities, and Committees"	Samoa
6740	"Geographic Areas, Entities, and Committees"	San Marino
6741	"Geographic Areas, Entities, and Committees"	Sao Tome and Principe
6742	"Geographic Areas, Entities, and Committees"	Saudi Arabia
6743	"Geographic Areas, Entities, and Committees"	Securities and Exchange Commission (SEC)
6744	"Geographic Areas, Entities, and Committees"	Selective Service System
6745	"Geographic Areas, Entities, and Committees"	"Senate Committee on Agriculture, Nutrition, and Forestry"
6746	"Geographic Areas, Entities, and Committees"	Senate Committee on Appropriations
6747	"Geographic Areas, Entities, and Committees"	Senate Committee on Armed Services
6748	"Geographic Areas, Entities, and Committees"	"Senate Committee on Banking, Housing, and Urban Affairs"
6749	"Geographic Areas, Entities, and Committees"	"Senate Committee on Commerce, Science, and Transportation"
6750	"Geographic Areas, Entities, and Committees"	Senate Committee on Energy and Natural Resources
6751	"Geographic Areas, Entities, and Committees"	Senate Committee on Environment and Public Works
6752	"Geographic Areas, Entities, and Committees"	Senate Committee on Finance
6753	"Geographic Areas, Entities, and Committees"	Senate Committee on Foreign Relations
6754	"Geographic Areas, Entities, and Committees"	"Senate Committee on Health, Education, Labor, and Pensions"
6755	"Geographic Areas, Entities, and Committees"	Senate Committee on Homeland Security and Governmental Affairs
6756	"Geographic Areas, Entities, and Committees"	Senate Committee on Indian Affairs
6757	"Geographic Areas, Entities, and Committees"	Senate Committee on Rules and Administration
6758	"Geographic Areas, Entities, and Committees"	Senate Committee on Small Business and Entrepreneurship
6759	"Geographic Areas, Entities, and Committees"	Senate Committee on the Budget
6760	"Geographic Areas, Entities, and Committees"	Senate Committee on the Judiciary
6762	"Geographic Areas, Entities, and Committees"	Senate Select Committee on Ethics
6763	"Geographic Areas, Entities, and Committees"	Senate Select Committee on Intelligence
6764	"Geographic Areas, Entities, and Committees"	Senate Special Committee on Aging
6765	"Geographic Areas, Entities, and Committees"	Sierra Leone
6766	"Geographic Areas, Entities, and Committees"	Singapore
6767	"Geographic Areas, Entities, and Committees"	Slovakia
6768	"Geographic Areas, Entities, and Committees"	Slovenia
6769	"Geographic Areas, Entities, and Committees"	Small Business Administration
6770	"Geographic Areas, Entities, and Committees"	Smithsonian Institution
6771	"Geographic Areas, Entities, and Committees"	Social Security Administration
6772	"Geographic Areas, Entities, and Committees"	Somalia
6773	"Geographic Areas, Entities, and Committees"	South Africa
6774	"Geographic Areas, Entities, and Committees"	South Asia
6775	"Geographic Areas, Entities, and Committees"	South Carolina
6776	"Geographic Areas, Entities, and Committees"	South Dakota
6777	"Geographic Areas, Entities, and Committees"	South Korea
6778	"Geographic Areas, Entities, and Committees"	Spain
6779	"Geographic Areas, Entities, and Committees"	Sri Lanka
6780	"Geographic Areas, Entities, and Committees"	Sudan
6781	"Geographic Areas, Entities, and Committees"	Surface Transportation Board
6783	"Geographic Areas, Entities, and Committees"	Swaziland
6784	"Geographic Areas, Entities, and Committees"	Sweden
6785	"Geographic Areas, Entities, and Committees"	Switzerland
6786	"Geographic Areas, Entities, and Committees"	Syria
6787	"Geographic Areas, Entities, and Committees"	Taiwan
6788	"Geographic Areas, Entities, and Committees"	Tajikistan
6789	"Geographic Areas, Entities, and Committees"	Tanzania
6790	"Geographic Areas, Entities, and Committees"	Tennessee
6791	"Geographic Areas, Entities, and Committees"	Tennessee Valley Authority
6792	"Geographic Areas, Entities, and Committees"	Texas
6793	"Geographic Areas, Entities, and Committees"	Thailand
6794	"Geographic Areas, Entities, and Committees"	Tibet
6795	"Geographic Areas, Entities, and Committees"	Togo
6796	"Geographic Areas, Entities, and Committees"	Tonga
6797	"Geographic Areas, Entities, and Committees"	Trade and Development Agency
6798	"Geographic Areas, Entities, and Committees"	Trinidad and Tobago
6799	"Geographic Areas, Entities, and Committees"	Tunisia
6800	"Geographic Areas, Entities, and Committees"	Turkey
6801	"Geographic Areas, Entities, and Committees"	Turkmenistan
6802	"Geographic Areas, Entities, and Committees"	Turks and Caicos
6803	"Geographic Areas, Entities, and Committees"	Tuvalu
6804	"Geographic Areas, Entities, and Committees"	U.S. Agency for International Development (USAID)
6805	"Geographic Areas, Entities, and Committees"	U.S. Holocaust Memorial Council
6806	"Geographic Areas, Entities, and Committees"	U.S. Institute of Peace
6807	"Geographic Areas, Entities, and Committees"	U.S. International Trade Commission
6808	"Geographic Areas, Entities, and Committees"	U.S. Postal Service
6809	"Geographic Areas, Entities, and Committees"	U.S. Sentencing Commission
6810	"Geographic Areas, Entities, and Committees"	U.S.S.R.
6811	"Geographic Areas, Entities, and Committees"	Uganda
6812	"Geographic Areas, Entities, and Committees"	Ukraine
6813	"Geographic Areas, Entities, and Committees"	United Arab Emirates
6814	"Geographic Areas, Entities, and Committees"	United Kingdom
6815	"Geographic Areas, Entities, and Committees"	United Nations
6816	"Geographic Areas, Entities, and Committees"	Uruguay
6817	"Geographic Areas, Entities, and Committees"	Utah
6818	"Geographic Areas, Entities, and Committees"	Uzbekistan
6819	"Geographic Areas, Entities, and Committees"	Vanuatu
6820	"Geographic Areas, Entities, and Committees"	Vatican City
6821	"Geographic Areas, Entities, and Committees"	Venezuela
6822	"Geographic Areas, Entities, and Committees"	Vermont
6823	"Geographic Areas, Entities, and Committees"	Vietnam
6825	"Geographic Areas, Entities, and Committees"	Virginia
6826	"Geographic Areas, Entities, and Committees"	Washington State
6827	"Geographic Areas, Entities, and Committees"	West Bank
6828	"Geographic Areas, Entities, and Committees"	West Virginia
6829	"Geographic Areas, Entities, and Committees"	Western Hemisphere
6830	"Geographic Areas, Entities, and Committees"	Western Sahara
6831	"Geographic Areas, Entities, and Committees"	Wisconsin
6832	"Geographic Areas, Entities, and Committees"	Wyoming
6833	"Geographic Areas, Entities, and Committees"	Yemen
6834	"Geographic Areas, Entities, and Committees"	Zimbabwe
6841	"Geographic Areas, Entities, and Committees"	Access Board
6842	"Geographic Areas, Entities, and Committees"	Africa
6843	"Geographic Areas, Entities, and Committees"	African Development Foundation
6844	"Geographic Areas, Entities, and Committees"	Albania
6845	"Geographic Areas, Entities, and Committees"	Consumer Financial Protection Bureau
6846	"Geographic Areas, Entities, and Committees"	Djibouti
6847	"Geographic Areas, Entities, and Committees"	Financial Stability Oversight Council
6848	"Geographic Areas, Entities, and Committees"	Solomon Islands
6849	"Geographic Areas, Entities, and Committees"	South Sudan
6861	"Geographic Areas, Entities, and Committees"	Denali Commission
6862	"Geographic Areas, Entities, and Committees"	Department of Energy
6863	"Geographic Areas, Entities, and Committees"	Department of Health and Human Services
6864	"Geographic Areas, Entities, and Committees"	Department of Justice
6865	"Geographic Areas, Entities, and Committees"	Department of the Treasury
6866	"Geographic Areas, Entities, and Committees"	Department of Transportation
6867	"Geographic Areas, Entities, and Committees"	Department of Veterans Affairs
6882	"Geographic Areas, Entities, and Committees"	Government Publishing Office (GPO)
6883	"Geographic Areas, Entities, and Committees"	House Committee on Veterans’ Affairs
6884	"Geographic Areas, Entities, and Committees"	National Security Agency
6885	"Geographic Areas, Entities, and Committees"	Privacy and Civil Liberties Oversight Board
6886	"Geographic Areas, Entities, and Committees"	Senate Committee on Veterans’ Affairs
6887	"Geographic Areas, Entities, and Committees"	U.S. Commission on International Religious Freedom
6096	Government Operations and Politics	(top)
6097	Government Operations and Politics	Administrative law and regulatory procedures
6098	Government Operations and Politics	Advisory bodies
6099	Government Operations and Politics	Census and government statistics
6100	Government Operations and Politics	Commemorative events and holidays
6101	Government Operations and Politics	Community life and organization
6102	Government Operations and Politics	Congressional-executive branch relations
6103	Government Operations and Politics	Congressional tributes
6104	Government Operations and Politics	"Elections, voting, political campaign regulation"
6105	Government Operations and Politics	Executive agency funding and structure
6106	Government Operations and Politics	Federal officials
6107	Government Operations and Politics	Federal preemption
6108	Government Operations and Politics	Federally chartered organizations
6109	Government Operations and Politics	"Government buildings, facilities, and property"
6110	Government Operations and Politics	Government corporations and government-sponsored enterprises
6111	Government Operations and Politics	"Government employee pay, benefits, personnel management"
6112	Government Operations and Politics	"Government ethics and transparency, public corruption"
6113	Government Operations and Politics	Government information and archives
6114	Government Operations and Politics	Government studies and investigations
6115	Government Operations and Politics	Government liability
6116	Government Operations and Politics	Intergovernmental relations
6117	Government Operations and Politics	Licensing and registrations
6118	Government Operations and Politics	National symbols
6119	Government Operations and Politics	Performance measurement
6120	Government Operations and Politics	Political movements and philosophies
6121	Government Operations and Politics	Political parties and affiliation
6122	Government Operations and Politics	Political representation
6123	Government Operations and Politics	Postal service
6124	Government Operations and Politics	Presidents and presidential powers
6125	Government Operations and Politics	Public-private cooperation
6126	Government Operations and Politics	Public contracts and procurement
6127	Government Operations and Politics	Public participation and lobbying
6128	Government Operations and Politics	State and local government operations
6129	Government Operations and Politics	U.S. territories and protectorates
6857	Government Operations and Politics	Protection of officials
6130	Health	(top)
6131	Health	Aging
6132	Health	Allergies
6133	Health	Allied health services
6134	Health	Alternative treatments
6135	Health	Birth defects
6136	Health	Blood and blood diseases
6137	Health	Cancer
6138	Health	Cardiovascular and respiratory health
6139	Health	Cell biology and embryology
6140	Health	Child health
6141	Health	Comprehensive health care
6142	Health	Dental care
6143	Health	Digestive and metabolic diseases
6144	Health	Disability and paralysis
6145	Health	"Drug, alcohol, tobacco use"
6147	Health	"Drug safety, medical device, and laboratory regulation"
6148	Health	Emergency medical services and trauma care
6149	Health	Environmental health
6150	Health	Family planning and birth control
6151	Health	General health and health care finance matters
6152	Health	Genetics
6153	Health	Health care costs and insurance
6154	Health	Health care quality
6155	Health	Health care coverage and access
6156	Health	Health facilities and institutions
6157	Health	Health information and medical records
6158	Health	Health personnel
6159	Health	Health programs administration and funding
6160	Health	Health promotion and preventive care
6161	Health	"Health technology, devices, supplies"
6162	Health	"Hearing, speech, and vision care"
6163	Health	Hereditary and development disorders
6164	Health	HIV/AIDS
6165	Health	Home and outpatient care
6166	Health	Hospital care
6168	Health	Infectious and parasitic diseases
6169	Health	"Long-term, rehabilitative, and terminal care"
6170	Health	Medicaid
6171	Health	Medical education
6172	Health	Medical ethics
6173	Health	Medical research
6174	Health	Medical tests and diagnostic methods
6175	Health	Medicare
6176	Health	Mental health
6177	Health	Minority health
6178	Health	Musculoskeletal and skin diseases
6179	Health	Neurological disorders
6180	Health	Nursing
6181	Health	Nutrition and diet
6182	Health	Organ and tissue donation and transplantation
6183	Health	Physical fitness and lifestyle
6184	Health	Prescription drugs
6185	Health	Radiation
6186	Health	Sex and reproductive health
6187	Health	Sexually transmitted diseases
6188	Health	Surgery and anesthesia
6189	Health	Women's health
6190	Health	World health
6878	Health	Drug therapy
6879	Health	Immunology and vaccination
6191	Housing and Community Development	(top)
6192	Housing and Community Development	Cooperative and condominium housing
6193	Housing and Community Development	Homelessness and emergency shelter
6194	Housing and Community Development	Housing and community development funding
6195	Housing and Community Development	Housing finance and home ownership
6196	Housing and Community Development	Housing for the elderly and disabled
6197	Housing and Community Development	Housing industry and standards
6198	Housing and Community Development	Housing supply and affordability
6199	Housing and Community Development	Low- and moderate-income housing
6200	Housing and Community Development	Public housing
6201	Housing and Community Development	Regional and metropolitan planning
6202	Housing and Community Development	Residential rehabilitation and home repair
6203	Housing and Community Development	Rural conditions and development
6204	Housing and Community Development	Small towns
6205	Housing and Community Development	Urban and suburban affairs and development
6858	Housing and Community Development	Housing discrimination
6206	Immigration	(top)
6207	Immigration	Border security and unlawful immigration
6208	Immigration	Citizenship and naturalization
6209	Immigration	Foreign labor
6210	Immigration	Human trafficking
6211	Immigration	Immigrant health and welfare
6212	Immigration	Immigration status and procedures
6213	Immigration	"Refugees, asylum, displaced persons"
6214	Immigration	Visas and passports
6215	International Affairs	(top)
6216	International Affairs	Arab-Israeli relations
6217	International Affairs	Arms control and nonproliferation
6218	International Affairs	Collective security
6219	International Affairs	Conflicts and wars
6220	International Affairs	"Diplomacy, foreign officials, Americans abroad"
6221	International Affairs	Foreign aid and international relief
6222	International Affairs	General foreign operations matters
6223	International Affairs	Human rights
6224	International Affairs	International exchange and broadcasting
6225	International Affairs	International finance and foreign exchange
6226	International Affairs	International law and treaties
6227	International Affairs	International organizations and cooperation
6228	International Affairs	Militias and paramilitary groups
6229	International Affairs	Multilateral development programs
6230	International Affairs	Reconstruction and stabilization
6231	International Affairs	Rule of law and government transparency
6232	International Affairs	Sanctions
6233	International Affairs	"Sovereignty, recognition, national governance and status"
6234	International Affairs	"War crimes, genocide, crimes against humanity"
6840	International Affairs	Palestinians
6859	International Affairs	Foreign property
6235	Labor and Employment	(top)
6236	Labor and Employment	Employee benefits and pensions
6237	Labor and Employment	Employee hiring
6238	Labor and Employment	Employee leave
6239	Labor and Employment	Employment and training programs
6240	Labor and Employment	Employment discrimination and employee rights
6241	Labor and Employment	Labor standards
6242	Labor and Employment	Labor-management relations
6243	Labor and Employment	"Migrant, seasonal, agricultural labor"
6244	Labor and Employment	Minority employment
6245	Labor and Employment	Personnel records
6246	Labor and Employment	Self-employed
6247	Labor and Employment	Temporary and part-time employment
6248	Labor and Employment	Unemployment
6249	Labor and Employment	Wages and earnings
6250	Labor and Employment	Women's employment
6251	Labor and Employment	Worker safety and health
6252	Labor and Employment	Youth employment and child labor
6880	Labor and Employment	Employee performance
6253	Law	(top)
6254	Law	Administrative remedies
6255	Law	"Alternative dispute resolution, mediation, arbitration"
6256	Law	Civil actions and liability
6257	Law	Constitution and constitutional amendments
6258	Law	Contracts and agency
6259	Law	Judicial procedure and administration
6260	Law	Evidence and witnesses
6261	Law	Federal appellate courts
6262	Law	Federal district courts
6263	Law	Judges
6264	Law	Judicial review and appeals
6265	Law	Jurisdiction and venue
6266	Law	Lawyers and legal services
6267	Law	Legal fees and court costs
6268	Law	Specialized courts
6269	Law	State and local courts
6270	Law	Supreme Court
6271	Native Americans	(top)
6272	Native Americans	Alaska Natives and Hawaiians
6273	Native Americans	Federal-Indian relations
6274	Native Americans	General Native American affairs matters
6275	Native Americans	Indian claims
6276	Native Americans	Indian lands and resources rights
6277	Native Americans	Indian social and development programs
6278	Private Legislation	(top)
6279	Public Lands and Natural Resources	(top)
6280	Public Lands and Natural Resources	"Forests, forestry, trees"
6281	Public Lands and Natural Resources	General public lands matters
6282	Public Lands and Natural Resources	Historic sites and heritage areas
6283	Public Lands and Natural Resources	Land transfers
6284	Public Lands and Natural Resources	Land use and conservation
6285	Public Lands and Natural Resources	"Marine and coastal resources, fisheries"
6286	Public Lands and Natural Resources	Metals
6287	Public Lands and Natural Resources	Mining
6288	Public Lands and Natural Resources	Monuments and memorials
6289	Public Lands and Natural Resources	"Parks, recreation areas, trails"
6291	Public Lands and Natural Resources	Seashores and lakeshores
6292	Public Lands and Natural Resources	"Wilderness and natural areas, wildlife refuges, wild rivers, habitats"
6853	Public Lands and Natural Resources	Arctic and polar regions
6293	"Science, Technology, Communications"	(top)
6294	"Science, Technology, Communications"	Advanced technology and technological innovations
6295	"Science, Technology, Communications"	Astronomy
6296	"Science, Technology, Communications"	Atmospheric science and weather
6297	"Science, Technology, Communications"	Biological and life sciences
6298	"Science, Technology, Communications"	"Broadcasting, cable, digital technologies"
6299	"Science, Technology, Communications"	Chemistry
6300	"Science, Technology, Communications"	Computers and information technology
6301	"Science, Technology, Communications"	Earth sciences
6302	"Science, Technology, Communications"	General science and technology matters
6303	"Science, Technology, Communications"	Geography
6304	"Science, Technology, Communications"	International scientific cooperation
6305	"Science, Technology, Communications"	Internet and video services
6306	"Science, Technology, Communications"	Materials
6307	"Science, Technology, Communications"	News media and reporting
6308	"Science, Technology, Communications"	Photography and imaging
6309	"Science, Technology, Communications"	Political advertising
6310	"Science, Technology, Communications"	Research administration and funding
6311	"Science, Technology, Communications"	Research and development
6312	"Science, Technology, Communications"	Research ethics
6313	"Science, Technology, Communications"	Science and engineering education
6314	"Science, Technology, Communications"	Spacecraft and satellites
6315	"Science, Technology, Communications"	Space flight and exploration
6316	"Science, Technology, Communications"	Technology assessment
6317	"Science, Technology, Communications"	Technology transfer and commercialization
6318	"Science, Technology, Communications"	Telecommunication rates and fees
6319	"Science, Technology, Communications"	Telephone and wireless communication
6320	"Science, Technology, Communications"	Time and calendar
6881	"Science, Technology, Communications"	Scientific communication
6321	Social Sciences and History	(top)
5863	Social Sciences and History	Military history
6322	Social Sciences and History	Archaeology and anthropology
6323	Social Sciences and History	Behavioral sciences
6324	Social Sciences and History	Policy sciences
6325	Social Sciences and History	Presidential administrations
6326	Social Sciences and History	U.S. history
6327	Social Sciences and History	World history
6328	Social Welfare	(top)
6329	Social Welfare	Disability assistance
6330	Social Welfare	National and community service
6331	Social Welfare	Poverty and welfare assistance
6332	Social Welfare	Social security and elderly assistance
6333	Social Welfare	"Social work, volunteer service, charitable organizations"
6334	Sports and Recreation	(top)
6335	Sports and Recreation	Athletes
6336	Sports and Recreation	Games and hobbies
6337	Sports and Recreation	Olympic games
6338	Sports and Recreation	Outdoor recreation
6339	Sports and Recreation	Professional sports
6340	Sports and Recreation	School athletics
6341	Sports and Recreation	Sports and recreation facilities
6342	Taxation	(top)
6343	Taxation	Capital gains tax
6344	Taxation	Employment taxes
6345	Taxation	General taxation matters
6346	Taxation	Income tax credits
6347	Taxation	Income tax deductions
6348	Taxation	Income tax deferral
6349	Taxation	Income tax exclusion
6350	Taxation	Income tax rates
6351	Taxation	Sales and excise taxes
6352	Taxation	State and local taxation
6353	Taxation	"Tax administration and collection, taxpayers"
6354	Taxation	Tax reform and tax simplification
6355	Taxation	Tax treatment of families
6356	Taxation	Tax-exempt organizations
6357	Taxation	Taxation of foreign income
6358	Taxation	Transfer and inheritance taxes
6860	Taxation	Property tax
6359	Transportation and Public Works	(top)
6360	Transportation and Public Works	Aviation and airports
6361	Transportation and Public Works	Coast guard
6362	Transportation and Public Works	Commuting
6363	Transportation and Public Works	Infrastructure development
6364	Transportation and Public Works	Marine and inland water transportation
6365	Transportation and Public Works	Motor carriers
6366	Transportation and Public Works	Motor vehicles
6367	Transportation and Public Works	"Navigation, waterways, harbors"
6368	Transportation and Public Works	Pedestrians and bicycling
6369	Transportation and Public Works	Pipelines
6370	Transportation and Public Works	Public transit
6371	Transportation and Public Works	Railroads
6372	Transportation and Public Works	Roads and highways
6373	Transportation and Public Works	Transportation costs
6374	Transportation and Public Works	Transportation employees
6375	Transportation and Public Works	Transportation programs funding
6376	Transportation and Public Works	Transportation safety and security
6377	Transportation and Public Works	Travel and tourism
6378	Water Resources Development	(top)
6379	Water Resources Development	Aquatic ecology
6380	Water Resources Development	Dams and canals
6381	Water Resources Development	Floods and storm protection
6382	Water Resources Development	Hydrology and hydrography
6383	Water Resources Development	Lakes and rivers
6384	Water Resources Development	Water resources funding
6385	Water Resources Development	Water storage
6386	Water Resources Development	Water use and supply
6387	Water Resources Development	Watersheds
6388	Water Resources Development	Wetlands
